article_id,brand,Betriebssystem,Speicherkapazitaet,Arbeitsspeicher,CPU-Taktfrequenz,Bilddiagonale,Aufloesung,Akkukapazitaet,Aufloesung_Hauptkamera,Grafik-Controller-Serie,avg_price
1294291-BP,Samsung,Android,16,1.5,1.2,20 cm (8"),unknown,4000-4999 mAh,3,unknown,355.1024
1457156-BP,Samsung,Android,16,2,1.6,25 cm (10"),8,unknown,NaN,unknown,254.24976
1457155-BP,Samsung,Android,16,2,1.6,25 cm (10"),8,unknown,NaN,unknown,226.0126
1457154-BP,Samsung,Android,16,2,1.6,25 cm (10"),8,unknown,NaN,unknown,226.0126
W919471,Samsung,Windows 10 Home,128,4,NaN,30 cm (12"),2160x1440,unknown,NaN,Intel HD Graphics 500,908.43
1490665-BP,Archos,Android,64,1,1.3,25 cm (10"),1024x600,unknown,NaN,unknown,134.50505
1507116-BP,Huawei Technologies,Android,16,2,1.2,18 cm (7"),unknown,unknown,13,unknown,221.94969
1420915-BP,Huawei Technologies,Android,16,2,1.5,25 cm (10"),unknown,unknown,13,unknown,287.3558
1382846-BP,Wortmann,Windows 8.1 32-Bit,128,4,2.9,25 cm (10"),1920x1200,unknown,NaN,unknown,2217.5195
1507115-BP,Huawei Technologies,Android,16,2,1.2,18 cm (7"),unknown,unknown,13,unknown,221.94969
1507117-BP,Huawei Technologies,Android,16,2,1.2,18 cm (7"),unknown,unknown,13,unknown,221.94969
1409362-BP,Microsoft,Windows 10 Professional,128,4,3,30 cm (12"),2736x1824,unknown,NaN,Intel HD Graphics 500,865.30493
1434003-BP,Acer,Windows 10 Home,256,8,2.5,33 cm (13"),1920x1080,unknown,NaN,Intel HD Graphics 500,1262.5278
1492661-BP,Asus,Windows 10 Home,512,16,2.5,30 cm (12"),2880x1620,unknown,NaN,Intel HD Graphics 500,1530.9346
1496539-BP,HP,Windows 10 Home,512,8,2.5,33 cm (13"),1920x1080,unknown,NaN,Intel HD Graphics 500,1186.1436
1496537-BP,HP,Windows 10 Home,256,8,2.5,33 cm (13"),1920x1080,unknown,NaN,Intel HD Graphics 500,1099.2457
1425619-BP,Microsoft,Windows 10 Professional,256,8,2.4,33 cm (13"),3000x2000,unknown,NaN,unknown,1596.9978
1487839-BP,Microsoft,Windows 10 Professional,1000,16,3.4,33 cm (13"),3000x2000,unknown,NaN,unknown,2856.9304
1409363-BP,Microsoft,Windows 10 Professional,256,8,3,30 cm (12"),2736x1824,unknown,NaN,unknown,1186.892
1409365-BP,Microsoft,Windows 10 Professional,256,16,3.4,30 cm (12"),2736x1824,unknown,NaN,unknown,1535.9921
1409361-BP,Microsoft,Windows 10 Professional,128,4,2.2,30 cm (12"),2736x1824,unknown,NaN,Intel HD Graphics 500,824.97156
1496532-BP,HP,Windows 10 Home,256,8,2.2,33 cm (13"),2560x1440,unknown,NaN,unknown,1375.9045
1518155-BP,Odys,Windows 10 Home 32-Bit,32,2,1.4,28 cm (11"),1366x768,unknown,NaN,Intel HD Graphics 400,197.9467
1462887-BP,HP,Windows 10 Home,256,8,2.5,33 cm (13"),1920x1080,unknown,NaN,unknown,1186.1436
90NB0B51-M01450,Asus,Windows 10 Professional,256,8,NaN,30 cm (12"),1920x1080,unknown,NaN,Intel HD Graphics 500,989.3661
90NB0C62-M03560,Asus,Windows 10 Professional,256,8,2.3,30 cm (12"),unknown,unknown,NaN,Intel HD Graphics 500,1203.8807
W919491,Samsung,Windows 10 Professional,128,4,NaN,30 cm (12"),2160x1440,unknown,NaN,Intel HD Graphics 500,989.75
W919801,Samsung,Windows 10 Home,128,4,NaN,30 cm (12"),2160x1440,unknown,NaN,Intel HD Graphics 500,826.04
2511706-BP,Asus,unknown,128,8,2.7,38 cm (15"),1920x1080,unknown,NaN,NVIDIA GeForce GTX 900,925.3767
1503850-BP,Acer,Windows 10 Home 64-Bit,256,8,2.3,30 cm (12"),2160x1440,unknown,NaN,unknown,899.0011
1431354-BP,Odys,Windows 10 Home,32,2,1.3,28 cm (11"),1366x768,unknown,NaN,unknown,204.0689
2511686-BP,Asus,unknown,256,8,2.3,30 cm (12"),2880x1920,unknown,NaN,Intel HD Graphics 500,1384.6133
2511689-BP,Asus,unknown,256,8,2.5,33 cm (13"),3200x1800,unknown,NaN,Intel HD Graphics 500,1292.9532
W058891,Asus,Windows 10 Home,512,16,NaN,30 cm (12"),2880x1620,unknown,NaN,Intel HD Graphics 500,1515.0825
W083201,HP,Windows 10 Home,512,8,NaN,33 cm (13"),1920x1080,unknown,NaN,Intel HD Graphics 500,1180.9175
S224191,Odys,Windows 10 Home,32,4,NaN,28 cm (11"),1920x1080,unknown,NaN,Intel HD Graphics 400,211.33667
S224151,Odys,Windows 10 Home,32,2,NaN,28 cm (11"),1366x768,unknown,NaN,Intel HD Graphics 400,188.65167
S969331,Odys,Windows 10 Home 32-Bit,32,2,NaN,28 cm (11"),1920x1080,unknown,NaN,Intel HD Graphics 400,193.96416
W349331,Samsung,Android,16,2,1.6,25 cm (10"),8,unknown,NaN,unknown,203.02583
W349311,Samsung,Android,16,2,1.6,25 cm (10"),8,unknown,NaN,unknown,202.89917
1410830-BP,Medion,Android,16,1,1.3,25 cm (10"),unknown,8000-8999 mAh,NaN,unknown,167.23
2991185,HP,Windows 10 Home 32-Bit,32,2,1.3,25 cm (10"),1280x800,unknown,NaN,unknown,369.21997
2570110,Microsoft,Windows 10 Professional,128,4,NaN,30 cm (12"),2736x1824,unknown,NaN,Intel HD Graphics 500,812.5325
2991183,HP,Windows 10 Professional 32-Bit,32,2,1.3,25 cm (10"),1280x800,unknown,NaN,unknown,578.3621
2335196,HP,Windows 8.1 32-Bit,32,2,1.3,25 cm (10"),1280x800,unknown,NaN,unknown,491.46393
2469298,HP,Windows 8.1 Pro 64-Bit,64,4,1.4,18 cm (7"),2048x1536,unknown,NaN,unknown,706.235
2965430,Getac,Windows 10 Professional,256,4,2.2,20 cm (8"),1280x800,unknown,NaN,unknown,2978.4465
2880026,Infocus,Windows 10 Professional,32,2,1.3,25 cm (10"),1280x800,unknown,NaN,unknown,625.327
2269334,HP,Windows 8.1 Pro 32-Bit,32,2,1.3,25 cm (10"),1280x800,unknown,NaN,unknown,411.33167
2784469,Samsung,Windows 10 Professional 64-Bit,128,NaN,2.2,30 cm (12"),2160x1440,unknown,NaN,Intel HD Graphics 500,935.575
2777228,Samsung,Windows 10 Home,128,4,2.2,30 cm (12"),2160x1440,unknown,NaN,Intel HD Graphics 500,616.225
2909888,Acer,Windows 10 Home 64-Bit,128,4,NaN,30 cm (12"),1920x1080,unknown,NaN,Intel HD Graphics 500,992.13995
3349314,Getac,Windows 10 Professional,64,4,1.6,20 cm (8"),1280x800,unknown,NaN,unknown,1606.8467
3039117,Getac,Windows 10 Professional 64-Bit,64,4,1.6,20 cm (8"),1280x800,unknown,NaN,unknown,1130.2261
3358128,Getac,Windows 10 Professional,64,4,1.6,20 cm (8"),1280x800,unknown,NaN,unknown,1832.27
3035346,Getac,Windows 10 Professional,64,4,1.6,20 cm (8"),1280x800,unknown,NaN,unknown,1237.2483
2965315,Getac,Windows 10 Professional,128,4,NaN,25 cm (10"),1920x1200,unknown,NaN,Intel HD Graphics 5000,2251.9382
2965313,Getac,Windows 7 Professional,128,4,NaN,25 cm (10"),1920x1200,unknown,NaN,Intel HD Graphics 5000,2396.4583
3330869,Getac,Windows 10 Professional 64-Bit,128,4,NaN,25 cm (10"),1900x1200,unknown,NaN,Intel HD Graphics 5000,2569.1685
3330883,Getac,Windows 10 Professional 64-Bit,128,4,NaN,25 cm (10"),1900x1200,unknown,NaN,Intel HD Graphics 5000,2569.0435
3034464,Getac,Windows 10 Professional 64-Bit,128,4,2.3,28 cm (11"),1366x768,unknown,NaN,Intel HD Graphics 500,1869.4899
3381201,Getac,Windows 10 Professional 64-Bit,128,4,NaN,25 cm (10"),1920x1200,unknown,NaN,Intel HD Graphics 5000,2411.6982
3381209,Getac,Windows 10 Professional,64,4,1.6,20 cm (8"),1280x800,unknown,NaN,unknown,1510.0491
1492658-BP,Asus,Windows 10 Home,32,2,1.4,25 cm (10"),1280x800,unknown,NaN,unknown,218.97835
1414171-BP,Samsung,Windows 10 Professional 64-Bit,128,4,2.2,30 cm (12"),2160x1440,unknown,NaN,Intel HD Graphics 500,1072.1711
ZA0V0270DE,Lenovo,Android,64,4,2.4,25 cm (10"),unknown,unknown,NaN,Intel HD Graphics 400,515.29333
ZA150085DE,Lenovo,Windows 10 Professional 64-Bit,64,4,2.4,25 cm (10"),unknown,unknown,NaN,Intel HD Graphics 400,586.483
SM-T580NZWADBT,Samsung,Android,16,2,1.6,25 cm (10"),8,unknown,NaN,unknown,199.05391
SM-T580NZKADBT,Samsung,Android,16,2,1.6,25 cm (10"),8,unknown,NaN,unknown,196.07417
096920,Huawei Technologies,Android,16,NaN,2,25 cm (10"),unknown,6000-6999 mAh,13,unknown,255.03328
098103,Xoro,Android,16,1,1.3,25 cm (10"),unknown,8000-8999 mAh,2,unknown,130.01796
096918,Huawei Technologies,Android,16,NaN,2,25 cm (10"),unknown,6000-6999 mAh,13,unknown,299.29413
