brand	Format	Farbe	Verpackungseinheit	Papierstaerke	price	prediction
Freytag & Petersen	DIN A4 (210 x 297 mm)	weiss	250	160	6.8627343	6.250509262084961
Staufen	DIN A4 (210 x 297 mm)	blau	35	120	1.8790243999999998	3.3699088096618652
IBA Hartmann	DIN A5 (148 x 210 mm)	gelb	1000	80	11.521628999999999	6.643229007720947
Clairefontaine	DIN A4 (210 x 297 mm)	violett	100	80	4.563750700000001	4.87324333190918
Sigel	DIN A4 (210 x 297 mm)	weiss	200	160	14.869307000000001	17.168684005737305
Staufen	DIN A4 (210 x 297 mm)	blau	25	160	1.8760976000000003	2.750765800476074
Papier Union	unknown	aqua	100	240	48.85685	6.428470611572266
Clairefontaine	DIN A4 (210 x 297 mm)	gruen	250	160	5.2583337	8.121516227722168
Clairefontaine	DIN A4 (210 x 297 mm)	beige	250	160	4.935417	5.139179229736328
Clairefontaine	DIN A4 (210 x 297 mm)	elfenbein	500	80	4.763333	6.177008628845215
Clairefontaine	DIN A4 (210 x 297 mm)	beige	500	80	4.603333	5.026956558227539
Xerox	DIN A4 (210 x 297 mm)	weiss	2500	75	19.183332	9.306784629821777
HP	unknown	unknown	unknown	unknown	136.88785	75.6474609375
Papier Union	unknown	aqua	100	90	2.4199996	20.143478393554688
Multicopy	DIN A4 (210 x 297 mm)	weiss	500	90	6.790953599999999	9.54748821258545
Balance	DIN A4 (210 x 297 mm)	hochweiss	500	80	5.098024400000001	6.550228118896484
Papier Union	unknown	elfenbein	100	400	48.96857	95.69922637939453
Arjowiggins	unknown	aprikose	100	240	22.433004	10.536866188049316
Papyrus	DIN A4 (210 x 297 mm)	orange	250	160	8.428802000000001	22.664644241333008
Double A	DIN A3 (297 x 420 mm)	weiss	500	90	10.765219	12.014501571655273
Clairefontaine	DIN A3 (297 x 420 mm)	orange	500	80	10.449167	11.989581108093262
Xerox	DIN A4 (210 x 297 mm)	weiss	250	280	12.832918	7.225222587585449
Clairefontaine	DIN A4 (210 x 297 mm)	orange	100	80	3.5362122000000005	5.012905597686768
Canon	unknown	weiss	100	170	10.597188000000001	16.674406051635742
Trophée Color	DIN A3 (297 x 420 mm)	gelb	500	80	27.46538	13.044426918029785
Clairefontaine	DIN A4 (210 x 297 mm)	weiss	500	80	6.596161	4.967659950256348
Xerox	DIN A4 (210 x 297 mm)	weiss	2500	75	18.240004000000003	9.306784629821777
Clairefontaine	DIN A4 (210 x 297 mm)	rosa	250	210	11.716667	16.248804092407227
Image	DIN A4 (210 x 297 mm)	weiss	250	200	11.337916	16.124839782714844
Elco	DIN A4 (210 x 297 mm)	chamois	100	80	4.2870836	4.624294757843018
Staples	DIN A4 (210 x 297 mm)	rosa	500	80	5.637221299999999	6.751678466796875
Clairefontaine	DIN A4 (210 x 297 mm)	sand	250	120	6.753913400000001	6.805723190307617
Xerox	DIN A3 (297 x 420 mm)	weiss	125	300	14.071251	20.023874282836914
Xerox	DIN A4 (210 x 297 mm)	weiss	250	160	5.9400744	7.255551338195801
Clairefontaine	DIN A4 (210 x 297 mm)	weiss	250	160	5.208749299999999	6.110353946685791
Clairefontaine	DIN A4 (210 x 297 mm)	rot	1000	160	42.898846	17.64212989807129
Staufen	DIN A4 (210 x 297 mm)	gelb	35	120	1.8778048999999999	1.2002990245819092
Papyrus	unknown	weiss	250	160	6.614279700000001	6.572238922119141
Clairefontaine	unknown	weiss	250	120	12.023503	11.86521053314209
Igepa	DIN A3 (297 x 420 mm)	chamois	250	120	26.260487	34.319976806640625
Image	DIN A4 (210 x 297 mm)	weiss	500	100	6.9916673	8.865374565124512
Clairefontaine	unknown	gelb	250	120	19.961308	14.649598121643066
Arjowiggins	unknown	aqua	100	120	3.1242504	8.909491539001465
HP	unknown	unknown	unknown	unknown	130.55	75.6474609375
Clairefontaine	DIN SRA3 (320 x 450 mm)	weiss	500	90	12.235502	7.6689887046813965
Evolve	DIN A4 (210 x 297 mm)	weiss	500	80	4.0442476	63.84640884399414
Papier Union	unknown	californiablau	100	120	27.005746999999996	9.449711799621582
Clairefontaine	DIN A4 (210 x 297 mm)	violett	250	210	11.8125	17.30814552307129
Clairefontaine	DIN A4 (210 x 297 mm)	elfenbein	250	120	3.9716659	4.490537643432617
Mondi	DIN A4 (210 x 297 mm)	weiss	250	200	17.42	11.103071212768555
Portucel Soporcel	DIN A3 (297 x 420 mm)	unknown	500	80	8.724776	12.353832244873047
Avery Zweckform	unknown	unknown	unknown	unknown	10.41	10.88265609741211
Mondi	DIN A4 (210 x 297 mm)	unknown	500	90	6.711802499999999	7.0707926750183105
Papyrus	DIN A4 (210 x 297 mm)	weiss	500	80	4.412858	7.290247440338135
Papyrus	DIN A3 (297 x 420 mm)	unknown	500	80	8.174197	9.202573776245117
Clairefontaine	DIN A4 (210 x 297 mm)	gelb	500	80	4.7658324	7.962069988250732
Papier Union	unknown	californiablau	100	170	4.6460013	11.480486869812012
Clairefontaine	DIN A3 (297 x 420 mm)	hellblau	500	80	9.047084	15.98696517944336
Unbekannt	DIN A4 (210 x 297 mm)	hochweiss	100000	80	7.415209299999999	76.25839233398438
Unbekannt	DIN A5 (148 x 210 mm)	weiss	500	80	3.6080334	4.254579544067383
Papier Union	unknown	californiablau	100	90	20.423498000000002	2.6501598358154297
Papyrus	DIN A4 (210 x 297 mm)	weiss	500	90	4.27265	9.391373634338379
Portucel Soporcel	DIN A3 (297 x 420 mm)	unknown	500	75	6.498889	9.545214653015137
Trophee	DIN A4 (210 x 297 mm)	unknown	500	80	8.029444999999999	7.158611297607422
Unbekannt	DIN A4 (210 x 297 mm)	unknown	500	80	2.9476337000000004	4.804139137268066
Trophee	DIN A4 (210 x 297 mm)	unknown	500	80	7.872855	7.158611297607422
Clairefontaine	DIN A4 (210 x 297 mm)	weiss	125	300	5.774038	5.355237007141113
Clairefontaine	DIN A3 (297 x 420 mm)	weiss	250	160	8.716999000000001	15.91613483428955
Clairefontaine	DIN A4 (210 x 297 mm)	sand	50	160	3.8417792	3.0680346488952637
Papier Union	unknown	goldgelb	100	170	38.065422	24.802515029907227
Clairefontaine	DIN A3 (297 x 420 mm)	karamell	500	80	9.084583	9.105347633361816
Staples	DIN A4 (210 x 297 mm)	rosa	250	120	4.906817	5.6825361251831055
Staples	DIN A3 (297 x 420 mm)	rosa	500	80	11.234783	18.61554527282715
CreativPapier	DIN A4 (210 x 297 mm)	weiss	1000	40	19.717497	87.33021545410156
Clairefontaine	DIN A4 (210 x 297 mm)	rosa	250	160	5.2625003	8.828866004943848
TOP-Preis	DIN A4 (210 x 297 mm)	gelb	250	120	7.244216000000001	12.086211204528809
Mondi	DIN SRA3 (320 x 450 mm)	weiss	250	170	19.868887	28.503646850585938
Arjowiggins	unknown	vanille	100	240	22.413006	10.603608131408691
Pro Office	DIN A4 (210 x 297 mm)	weiss	500	75	4.1977773	2.494220495223999
Mondi	DIN A3 (297 x 420 mm)	weiss	500	80	299.29967999999997	9.529922485351562
Mondi	unknown	unknown	500	80	4.6233335	8.669066429138184
Arjowiggins	unknown	elfenbein	100	240	22.427254	10.316568374633789
HP	unknown	unknown	unknown	unknown	3.377124	75.6474609375
Mondi	DIN A3 (297 x 420 mm)	weiss	250	135	41.028496000000004	12.386122703552246
Papyrus	DIN A3 (297 x 420 mm)	hellgrau	500	80	10.722499000000001	7.880074977874756
Papier Union	unknown	braun	100	170	58.897045	17.202972412109375
Clairefontaine	DIN A4 (210 x 297 mm)	weiss	250	120	4.766548	4.981091499328613
Trophée Color	unknown	violett	500	80	15.876057000000001	13.612369537353516
Xerox	DIN A3 (297 x 420 mm)	weiss	500	75	6.9533320000000005	7.2288899421691895
Clairefontaine	DIN A4 (210 x 297 mm)	blau	250	120	6.2730365	14.139891624450684
Papier Union	unknown	goldgelb	100	90	2.57025	20.418180465698242
Staples	DIN A3 (297 x 420 mm)	goldgelb	500	80	9.582355	18.409318923950195
Papyrus	DIN A4 (210 x 297 mm)	rot	250	120	6.700366000000001	5.698566436767578
Xerox	DIN A4 (210 x 297 mm)	unknown	unknown	80	6.1575003	182.53292846679688
Papier Union	unknown	unknown	unknown	unknown	15.566747	48.2528076171875
Papier Union	unknown	dunkelbraun	100	320	24.852504999999997	59.81861114501953
Papier Union	unknown	dunkelbraun	100	170	13.867	32.0162467956543
Staples	DIN A4 (210 x 297 mm)	weiss	25	270	7.4162836	7.719443321228027
Arjowiggins	unknown	vanille	100	90	9.437750999999999	4.222268104553223
Mondi	DIN A4 (210 x 297 mm)	weiss	500	80	4.4808693	37.55560302734375
Clairefontaine	DIN A3 (297 x 420 mm)	kamel	500	80	11.640001	11.409590721130371
Clairefontaine	unknown	orange	250	160	11.344316000000001	13.339261054992676
Avery Zweckform	DIN A4 (210 x 297 mm)	weiss	500	90	8.971381	5.258359432220459
Clairefontaine	DIN A4 (210 x 297 mm)	grau	500	80	4.7866664000000005	5.483870029449463
CreativPapier	DIN A3 (297 x 420 mm)	weiss	50	120	18.934444	42.67286682128906
Freytag & Petersen	DIN A4 (210 x 297 mm)	weiss	2000	120	32.011475	8.655479431152344
HP	DIN A4 (210 x 297 mm)	unknown	500	80	5.052	11.2333345413208
Corona	DIN A4 (210 x 297 mm)	unknown	500	80	7.6728225000000005	6.005307197570801
Unbekannt	unknown	kanariengelb	500	80	17.788723	14.32875919342041
Papyrus	DIN A4 (210 x 297 mm)	weiss	2500	80	38.322212	21.992259979248047
Navigator Papier	DIN A4 (210 x 297 mm)	unknown	250	160	7.488678	5.963515281677246
Papier Union	unknown	unknown	unknown	unknown	8.053248	48.2528076171875
Portucel Soporcel	DIN A3 (297 x 420 mm)	weiss	500	100	12.057325	17.143484115600586
Rainbow	unknown	hellblau	500	unknown	11.698666000000001	5.480161666870117
Clairefontaine	DIN A4 (210 x 297 mm)	gelb	500	100	6.4604163	6.510666847229004
Clairefontaine	DIN A4 (210 x 297 mm)	unknown	50	120	5.1312647	5.14379358291626
Neutraler Lieferant	DIN A4 (210 x 297 mm)	weiss	500	80	2.6119497000000003	57.56660842895508
Soennecken	DIN A5 (148 x 210 mm)	weiss	1000	120	21.323057000000002	4.555955410003662
Papyrus	DIN A4 (210 x 297 mm)	grau	250	160	5.9600005	6.733592510223389
Clairefontaine	DIN A3 (297 x 420 mm)	goldgelb	250	120	10.723753	5.60749626159668
Arjowiggins	unknown	unknown	100	240	22.409754	23.020864486694336
Mondi	DIN A3 (297 x 420 mm)	unknown	500	90	15.642966	17.77712631225586
Papier Union	unknown	hellblau	100	170	4.32475	34.819725036621094
Xerox	DIN A3 (297 x 420 mm)	weiss	250	300	27.074583	27.322420120239258
