brand	Format	Farbe	Verpackungseinheit	Papierstaerke	price	prediction
Discovery	DIN A4 (210 x 297 mm)	weiss	500	70	6.213334	4.940645694732666
Image	DIN SRA3 (320 x 450 mm)	weiss	125	250	19.034166	9.44466495513916
Papier Union	unknown	dunkelbraun	100	400	156.25829	45.5068244934082
Papier Union	unknown	rosa	100	120	9.912249000000001	31.743661880493164
HP	DIN A4 (210 x 297 mm)	weiss	2500	80	79.849174	25.302236557006836
Papier Union	unknown	rosa	100	120	5.1292504999999995	31.743661880493164
Clairefontaine	DIN A3 (297 x 420 mm)	weiss	125	280	11.2725	9.371980667114258
Xerox	DIN A4 (210 x 297 mm)	weiss	500	80	4.96625	9.077500343322754
Unbekannt	DIN A4 (210 x 297 mm)	weiss	500	80	4.2871428	10.270248413085938
Unbekannt	DIN A4 (210 x 297 mm)	weiss	500	80	3.59	10.270248413085938
Steinbeis Papier	DIN A4 (210 x 297 mm)	unknown	500	80	5.6527142999999995	4.743533611297607
Elco	DIN A4 (210 x 297 mm)	blau	200	80	7.771666499999999	8.566099166870117
Papyrus	DIN A4 (210 x 297 mm)	neongelb	100	80	3.3193324	5.339713096618652
Xerox	DIN A3 (297 x 420 mm)	weiss	250	150	18.473753	12.974249839782715
Mondi	DIN A3 (297 x 420 mm)	weiss	500	90	22.50094	15.929388046264648
HP	DIN A4 (210 x 297 mm)	weiss	250	200	7.256057000000001	15.133932113647461
Unbekannt	DIN A4 (210 x 297 mm)	weiss	250	160	6.4503875	6.959811210632324
Papyrus	DIN A4 (210 x 297 mm)	gelb	250	160	8.254435	7.176261901855469
Mondi	DIN A4 (210 x 297 mm)	weiss	250	200	7.313333	11.320188522338867
Clairefontaine	DIN A3 (297 x 420 mm)	violett	250	120	10.224167999999999	8.329719543457031
Mondi	DIN A4 (210 x 297 mm)	weiss	500	80	3.975	39.08479309082031
Avery Zweckform	DIN A4 (210 x 297 mm)	weiss	25	200	25.92	12.839853286743164
Clairefontaine	DIN A4 (210 x 297 mm)	weiss	250	200	9.5925	11.05158519744873
Mondi	unknown	weiss	750	280	18.317104	19.8438663482666
Clairefontaine	DIN A4 (210 x 297 mm)	weiss	500	100	5.7531753	7.899981498718262
Clairefontaine	unknown	gelb	500	80	17.877626	11.253036499023438
Portucel Soporcel	DIN A3 (297 x 420 mm)	weiss	2500	90	34.69802	26.221633911132812
Clairefontaine	DIN A4 (210 x 297 mm)	kanariengelb	250	160	9.266250999999999	11.464052200317383
Igepa	DIN A4 (210 x 297 mm)	unknown	500	80	4.6685705	3.2661712169647217
Papier Union	unknown	braun	100	120	9.929248	23.474014282226562
Xerox	unknown	weiss	500	100	18.660951999999998	16.60230827331543
Clairefontaine	DIN A4 (210 x 297 mm)	clementine	50	160	3.8122356	5.554116249084473
Avery Zweckform	DIN A4 (210 x 297 mm)	weiss	10	180	15.6413355	13.725661277770996
Mondi	DIN A3 (297 x 420 mm)	weiss	250	135	14.503333	12.523869514465332
Freytag & Petersen	DIN A4 (210 x 297 mm)	weiss	250	160	6.8627343	4.880171775817871
Staufen	DIN A4 (210 x 297 mm)	blau	35	120	1.8790243999999998	1.3768872022628784
IBA Hartmann	DIN A5 (148 x 210 mm)	gelb	1000	80	11.521628999999999	4.396761417388916
