brand	Betriebssystem	Speicherkapazitaet	Arbeitsspeicher	CPU-Taktfrequenz	Bilddiagonale	Festplatte	price	prediction
Lenovo	Windows 10 Professional	64	2	1.3	"25 cm (10"")"	unknown	312.914	111.29302215576172
Asus	Windows 10 Professional	128	4	1.4	"25 cm (10"")"	128	310.49408	402.0511169433594
Apple	MacOS X	32	unknown	unknown	"18 cm (7"")"	unknown	415.15432999999996	408.2468566894531
Xplore Technologies	unknown	unknown	unknown	unknown	unknown	unknown	3603.0503	3268.64453125
Dell	Windows 10 Professional	256	8	2.5	"33 cm (13"")"	256	849.4566699999999	1096.0831298828125
HP	Windows 10 Professional	64	4	1.4	"18 cm (7"")"	unknown	563.1555	3402.519775390625
Lenovo	Android	16	1	1.3	"25 cm (10"")"	unknown	171.38153	260.6571960449219
Lenovo	unknown	64	4	1.4	"25 cm (10"")"	unknown	6606.5127	330.9712219238281
Medion	Android	64	2	1.3	"25 cm (10"")"	unknown	237.15297999999999	166.51673889160156
Modecom	Android	16	1	1.6	"25 cm (10"")"	unknown	2106.4143	949.3615112304688
Apple	unknown	32	unknown	unknown	"23 cm (9"")"	unknown	542.8433	524.7327880859375
ProDVX	Android	8	2	1.6	"25 cm (10"")"	unknown	251.20665	275.0316467285156
Microsoft	Windows 10 Professional 64-Bit	128	8	2.4	"33 cm (13"")"	128	8099.3423	1835.646728515625
HP	unknown	unknown	unknown	unknown	unknown	unknown	1323.4401	1310.0689697265625
Getac	Windows 10 Professional	256	4	2.2	"20 cm (8"")"	256	2754.5671	1920.400390625
Microsoft	Windows 10 Professional 64-Bit	256	8	2.2	"30 cm (12"")"	256	2280.1238	12101.79296875
Asus	Android	16	2	unknown	"20 cm (8"")"	unknown	53470.0	282.4100341796875
Acer	unknown	unknown	unknown	unknown	unknown	unknown	109.00832	818.766845703125
