brand	Betriebssystem	Speicherkapazitaet	Arbeitsspeicher	CPU-Taktfrequenz	Bilddiagonale	Festplatte	price	prediction
Apple	Apple iOS	64	1	1.4	"23 cm (9"")"	unknown	807.2167	679.466796875
Lenovo	Android	16	1	1.3	"18 cm (7"")"	unknown	96.42387	73.48749542236328
Lenovo	Windows 10 Home	64	4	1.4	"25 cm (10"")"	unknown	271.3633	342.3431396484375
Fujitsu	Windows 10 Professional	512	8	2.6	"30 cm (12"")"	unknown	1229.5804	2076.85498046875
Apple	unknown	unknown	unknown	unknown	"18 cm (7"")"	unknown	614.2319	747.5736694335938
Apple	unknown	256	unknown	unknown	"30 cm (12"")"	unknown	1111.6538	1021.0135498046875
Samsung	Android	32	3	1.9	"20 cm (8"")"	unknown	397.37396	559.9429931640625
Samsung	Android	32	3	1.8	unknown	unknown	385.91112999999996	776.4260864257812
Apple	unknown	32	unknown	unknown	"23 cm (9"")"	unknown	554.39	524.7327880859375
Samsung	unknown	unknown	unknown	unknown	unknown	unknown	599.8711	1184.2291259765625
Apple	Apple iOS	32	1	1.3	"18 cm (7"")"	unknown	376.93555	458.2525329589844
TrekStor	Android	8	0.5	1.3	"18 cm (7"")"	unknown	59.90000500000001	96.03760528564453
Unbekannt	Windows 10 Home	256	unknown	2.5	"38 cm (15"")"	256	4265.2856	2763.655029296875
Acer	Android	16	1	1.3	"25 cm (10"")"	unknown	235.71416000000002	238.3435516357422
HP	Windows 8.1 Pro 64-Bit	64	4	1.6	"25 cm (10"")"	unknown	881.61835	923.2449340820312
Apple	Apple iOS	256	2	2.2	unknown	unknown	1044.0491	4141.35400390625
Fujitsu	Windows 10 Professional	512	8	2.6	"30 cm (12"")"	unknown	1640.9567	2076.85498046875
Asus	unknown	unknown	unknown	unknown	unknown	unknown	573.2867	23239.16015625
Apple	unknown	unknown	unknown	unknown	unknown	unknown	572.98334	2222.990478515625
Acer	Windows 10 Home	32	2	1.3	"25 cm (10"")"	32	230.8	209.9944610595703
HP	Android	32	2	2.3	unknown	unknown	376.775	640.80517578125
Apple	MacOS X	256	2	2.2	"23 cm (9"")"	unknown	3018.5752	4016.6181640625
Asus	Windows 10 Home	64	2	1.4	"25 cm (10"")"	64	282.466	423.9529724121094
HP	Windows 10 Professional	128	4	1.6	"25 cm (10"")"	unknown	1282.78	1736.1893310546875
Samsung	Android	16	1	1.6	"25 cm (10"")"	unknown	397.71	336.24212646484375
Getac	unknown	128	4	unknown	"25 cm (10"")"	128	2430.7664	2402.696044921875
Axdia	Windows 10 Home	32	2	1.3	unknown	32	218.07002000000003	79.50340270996094
Lenovo	Windows 8.1	64	2	1.6	"25 cm (10"")"	64	575.8711	3337.174560546875
Lenovo	Windows 10 Professional	64	4	1.4	"25 cm (10"")"	unknown	383.09277000000003	269.61285400390625
Lenovo	Android	32	2	1.3	"25 cm (10"")"	unknown	205.12278999999998	195.3903350830078
Fujitsu	Windows 10 Professional	256	4	2.3	"30 cm (12"")"	unknown	872.80005	700.3200073242188
Apple	unknown	128	2	1.5	"18 cm (7"")"	unknown	6183.1177	5160.51513671875
Apple	MacOS X	256	2	2.2	unknown	unknown	4093.4116	5296.67822265625
HP	Windows 10 Professional	256	8	1.1	"30 cm (12"")"	256	1262.3151	1076.202392578125
unknown	unknown	32	2	unknown	"28 cm (11"")"	unknown	270.75597999999997	289.0562744140625
Lenovo	unknown	unknown	unknown	unknown	unknown	unknown	159.5275	5343.92041015625
Apple	unknown	unknown	unknown	unknown	unknown	unknown	2813.4868	2222.990478515625
Unbekannt	unknown	unknown	unknown	unknown	unknown	unknown	451.1594	486.4398193359375
Apple	unknown	128	unknown	unknown	"30 cm (12"")"	unknown	880.1460599999999	1307.5177001953125
Panasonic	Android	32	4	1.4	"25 cm (10"")"	unknown	1243.0837	1203.6055908203125
Xplore Technologies	unknown	unknown	unknown	unknown	unknown	unknown	2894.275	3268.64453125
Archos	Android	16	2	1.8	"25 cm (10"")"	unknown	152.08	5246.40185546875
Ruggear	Android	16	1	1.2	"18 cm (7"")"	unknown	486.585	182.42042541503906
Lenovo	Android	16	1	1.3	"25 cm (10"")"	unknown	152.08	260.6571960449219
Acer	Android	16	1	1.3	"25 cm (10"")"	unknown	127.838646	238.3435516357422
Huawei Technologies	Windows 10 Home	128	4	0.9	"30 cm (12"")"	unknown	520.0572	2346.848876953125
Getac	unknown	unknown	unknown	unknown	unknown	unknown	989.4669	1875.9267578125
HP	Windows 8	64	4	1.6	"25 cm (10"")"	unknown	1228.8789	1322.6580810546875
Sony	unknown	unknown	unknown	unknown	unknown	unknown	530.7878	597.5162963867188
Odys	Windows 10 Home 32-Bit	32	2	1.4	"28 cm (11"")"	32	193.32918	106.68062591552734
Samsung	Android	32	3	1.8	"23 cm (9"")"	unknown	378.3267	5138.2978515625
Apple	unknown	unknown	unknown	unknown	unknown	unknown	830.8432	2222.990478515625
VTech	Android	8	1	1.2	"13 cm (5"")"	unknown	79.87759399999999	66.81514739990234
Lenovo	Windows 10 Home	1000	4	2	"36 cm (14"")"	1000	421.40884000000005	457.5411071777344
Panasonic	unknown	unknown	unknown	unknown	unknown	unknown	2048.9788	3271.82958984375
Hamlet	Android	8	1	1.3	"18 cm (7"")"	unknown	57.622967	89.29773712158203
Microsoft	Windows 8.1	128	4	1.6	"25 cm (10"")"	unknown	613.61005	602.6417236328125
Mpman	Android	16	1	unknown	"25 cm (10"")"	unknown	76.360825	94.0997543334961
Apple	unknown	unknown	unknown	unknown	unknown	unknown	7773.0537	2222.990478515625
Acer	Windows 10 Home 64-Bit	32	2	1.6	"28 cm (11"")"	32	295.88696	261.2105407714844
Acer	Android	16	1	1.3	"18 cm (7"")"	unknown	103.70205	186.6575469970703
Sony	Android	16	2	1.5	"25 cm (10"")"	unknown	388.31998	495.01971435546875
Apple	unknown	unknown	unknown	unknown	unknown	unknown	960.0305	2222.990478515625
Asus	Windows 10 Home	64	2	1.4	"25 cm (10"")"	64	3035.4622	423.9529724121094
Lenco	Android	8	0.5	1.3	"18 cm (7"")"	unknown	100.28666	100.65021514892578
Apple	unknown	unknown	unknown	unknown	unknown	unknown	3167.1384	2222.990478515625
Dell	unknown	unknown	unknown	unknown	unknown	unknown	307.58444	10211.212890625
Apple	unknown	128	unknown	unknown	"18 cm (7"")"	unknown	407.1155	502.5917663574219
Unbekannt	Android	32	3	1.8	"25 cm (10"")"	unknown	4788.8164	974.810791015625
Lenovo	Windows 10 Professional	32	2	1.3	"25 cm (10"")"	unknown	278.43	295.5451965332031
Estar	unknown	unknown	unknown	unknown	unknown	unknown	90.93600500000001	153.91177368164062
Apple	unknown	unknown	unknown	unknown	unknown	unknown	4051.9946	2222.990478515625
Acer	Android	16	1	1.3	"18 cm (7"")"	unknown	161.22716	186.6575469970703
Lenovo	unknown	64	4	2.4	"25 cm (10"")"	unknown	6968.3535	1600.3626708984375
Asus	Android	16	2	1.3	"25 cm (10"")"	unknown	164.04143	233.93373107910156
Apple	unknown	64	unknown	unknown	"18 cm (7"")"	unknown	362.93445	450.5576477050781
Acer	Android	16	1	1.3	"18 cm (7"")"	unknown	179.32227	186.6575469970703
Apple	unknown	32	unknown	unknown	unknown	unknown	2304.8147	1255.5286865234375
Modecom	Android	16	2	1.6	"23 cm (9"")"	unknown	2432.3545	1749.008056640625
Apple	Apple iOS	256	2	2.2	unknown	unknown	1056.1228	4141.35400390625
i.onik	Android	8	1	1.2	"18 cm (7"")"	unknown	64.7962	69.18746185302734
Apple	unknown	16	unknown	1.3	"18 cm (7"")"	unknown	239.85272	326.2067565917969
Apple	Apple iOS	64	unknown	unknown	"23 cm (9"")"	unknown	431.56473	463.8287048339844
Asus	unknown	unknown	unknown	unknown	unknown	unknown	199.45331000000002	23239.16015625
Getac	unknown	128	8	1.6	"20 cm (8"")"	unknown	2379.8577	2155.2939453125
Microsoft	unknown	unknown	unknown	unknown	unknown	unknown	3012.8801	1775.8271484375
Apple	unknown	unknown	unknown	unknown	unknown	unknown	1749.6902	2222.990478515625
HP	unknown	unknown	unknown	unknown	"33 cm (13"")"	256	839.6167	1364.4443359375
