set_id,price,brand,Betriebssystem,Speicherkapazitaet,Arbeitsspeicher,CPU-Taktfrequenz,Bilddiagonale,Aufloesung,Festplatte,Akkukapazitaet,Aufloesung Hauptkamera,SSD-Speicherkapazitaet,Grafik-Controller-Serie
13849939,343.50778,Samsung,Android,32,3,1.8,20 cm (8"),unknown,unknown,unknown,unknown,unknown,unknown
9474945,525.69653,Dell,unknown,500,4,unknown,33 cm (13"),1920x1080,500,unknown,unknown,unknown,Intel HD Graphics 500
11365147,1762.2479,HP,Windows 8.1 Pro 64-Bit,256,8,2.6,33 cm (13"),2560x1440,256,unknown,unknown,256,Intel HD Graphics 5000
9128503,1178.4484,Lenovo,Windows 10 Home,256,8,1.2,30 cm (12"),1920x1080,256,unknown,unknown,256,Intel HD Graphics 500
2723333,104.49198,Asus,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
11523742,235.03003,Lenovo,Windows 10 Professional,32,2,1.4,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
14744406,13235.131,Fujitsu,unknown,256,unknown,unknown,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
8126336,14964.582,Asus,Windows 10 Professional,512,8,2.5,30 cm (12"),unknown,512,unknown,unknown,512,Intel HD Graphics 500
13590449,198.92001,Asus,Android,16,2,1.2,20 cm (8"),unknown,unknown,unknown,unknown,unknown,unknown
9272074,145.81667,Asus,Android,16,2,1.3,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
14721786,140.73067,Lenovo,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1928030,73.10687,Thomson,unknown,16,1,1.3,20 cm (8"),unknown,unknown,unknown,unknown,unknown,unknown
12405380,535.0,Asus,Android,64,1,1.7,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
10443529,1607.875,Microsoft,unknown,256,8,unknown,30 cm (12"),2736x1824,unknown,unknown,unknown,unknown,unknown
3171336,1073.4609,Fujitsu,Windows 8.1 Pro 64-Bit,128,4,1.6,20 cm (8"),1920x1200,128,unknown,unknown,128,unknown
4379161,583.2533,Apple,unknown,32,unknown,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
10709227,267.25735,unknown,unknown,32,2,unknown,28 cm (11"),unknown,unknown,unknown,unknown,unknown,unknown
2444604,260.57626,HP,Windows 10 Home 64-Bit,32,2,1.4,25 cm (10"),1280x800,32,unknown,unknown,32,Intel HD Graphics 400
2896512,7985.4175,Lenovo,Android,16,2,1.3,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
12892219,253.67075,Acer,Android,16,1,1.3,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
15501500,201.97664,Samsung,Android,unknown,1,1.6,unknown,unknown,unknown,unknown,unknown,unknown,unknown
12207680,795.50336,Lenovo,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
7035604,430.13226,Apple,unknown,64,unknown,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
14567790,935.369,Microsoft,unknown,128,8,unknown,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
6242584,205.26836,Samsung,Android,16,unknown,1,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
9325707,3122.9553,Microsoft,Windows 10 Professional,256,8,unknown,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
1288320,549.60004,Apple,Apple iOS,64,unknown,unknown,23 cm (9"),unknown,unknown,unknown,unknown,unknown,unknown
2837365,120.80332,Samsung,Android,8,1.5,1.3,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
14239102,911.1374,Apple,unknown,256,unknown,unknown,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
10681262,875.89343,Microsoft,unknown,128,8,unknown,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
11916377,2430.5461,Getac,unknown,128,4,unknown,25 cm (10"),1920x1200,128,unknown,unknown,128,Intel HD Graphics 5000
9789506,129.17867,Samsung,Android,8,1.5,1.3,unknown,unknown,unknown,unknown,unknown,unknown,unknown
11589592,92.02334,Lenco,Android,8,0.5,1.3,13 cm (5"),unknown,unknown,unknown,unknown,unknown,unknown
15717381,174.685,Asus,Android,16,2,1.2,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
9322684,754.0,Samsung,Android,16,1,1.6,25 cm (10"),unknown,unknown,unknown,unknown,unknown,unknown
12707585,81.76325,Danew,Windows 8.1,16,1,1.3,20 cm (8"),unknown,unknown,unknown,unknown,unknown,unknown
1102073,453.14655,Apple,unknown,16,unknown,unknown,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
14484895,1292.7966,unknown,Android,unknown,unknown,1.2,18 cm (7"),unknown,unknown,unknown,unknown,unknown,unknown
6222986,1860.3917,Microsoft,unknown,512,8,unknown,30 cm (12"),unknown,unknown,unknown,unknown,unknown,unknown
7955608,6504.4106,Apple,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
