set_id,price,brand,Format,Farbe,Verpackungseinheit,Papierstaerke
3723500,14.815075,Mondi,DIN A3 (297 x 420 mm),kanariengelb,500,160
1408301,12.883252,Papier Union,unknown,kirschrot,100,320
2884874,15.438001,Multicopy,DIN A3 (297 x 420 mm),weiss,500,90
14566328,12.949719,Clairefontaine,unknown,hellblau,500,80
8825552,20.423498,Papier Union,unknown,zitronengelb,100,90
8463737,9.522082,Clairefontaine,DIN A3 (297 x 420 mm),grau,500,80
13711829,13.869995,REY,DIN A4 (210 x 297 mm),weiss,2500,75
10464989,38.11771,Papier Union,unknown,zitronengelb,100,170
13448368,13.8814745,Papyrus,DIN A3 (297 x 420 mm),weiss,500,80
14018229,4.409236,Clairefontaine,DIN A4 (210 x 297 mm),blau,100,80
9080839,11.248681,Mondi,DIN A3 (297 x 420 mm),weiss,500,80
7501856,20.134499,Papier Union,DIN A2 (420 x 594 mm),taubengrau,unknown,90
16168471,340.14462,Xerox,DIN A4 (210 x 297 mm),unknown,500,80
11147576,6.0488677,Inapa,DIN A4 (210 x 297 mm),unknown,500,80
10092961,5.5971837,Clairefontaine,DIN A4 (210 x 297 mm),weiss,250,120
6976899,4.8874593,Unbekannt,DIN A4 (210 x 297 mm),weiss,500,80
4602181,13.195747,Papyrus,DIN A3 (297 x 420 mm),blau,500,80
475782,509.7155,Staples,DIN A4 (210 x 297 mm),weiss,500,80
6930693,6.636606,Unbekannt,DIN A4 (210 x 297 mm),blau,500,80
12775214,9.240834,Clairefontaine,DIN A3 (297 x 420 mm),blau,500,80
3976542,26.873129,Mondi,DIN A4 (210 x 297 mm),weiss,1750,120
2431424,7.2270885,Mondi,DIN A4 (210 x 297 mm),gruen,250,160
10464994,4.653251,Papier Union,unknown,zitronengelb,100,170
5713819,12.903752,Papier Union,unknown,dunkelbraun,100,320
2327993,15.346362,Xerox,DIN A4 (210 x 297 mm),weiss,250,250
7495472,2.4209998,Papier Union,unknown,weiss,100,90
10193696,10.375582,Mondi,unknown,weiss,250,200
12772190,9.240834,Clairefontaine,DIN A3 (297 x 420 mm),elfenbein,500,80
12784183,10.445834,Clairefontaine,DIN A3 (297 x 420 mm),orange,500,80
955736,2.2241666,Brunnen Baier & Schneider,DIN A4 (210 x 297 mm),rot,35,120
3996157,30.016315,Clairefontaine,DIN A4 (210 x 297 mm),ziegelrot,250,160
14959280,16.504583,Clairefontaine,DIN SRA3 (320 x 450 mm),weiss,250,170
11905145,16.118437,Clairefontaine,unknown,violett,2500,80
5696763,3.1280951,Pro Office,DIN A4 (210 x 297 mm),weiss,500,80
14260295,11.818334,Clairefontaine,DIN A4 (210 x 297 mm),rot,250,210
4356156,6.2075014,Lyreco,DIN A4 (210 x 297 mm),weiss,500,75
7459879,58.84852,Papier Union,unknown,tuerkis,100,170
1328614,3.1267502,Papier Union,unknown,elfenbein,100,120
10346826,4.159131,Clairefontaine,unknown,weiss,125,210
1276090,2.4179997,Papier Union,unknown,vanille,100,90
6715467,14.107732,Igepa,DIN A3 (297 x 420 mm),mittelblau,500,80
1294752,12.963125,Unbekannt,DIN A4 (210 x 297 mm),weiss,250,135
7642653,17.3,Clairefontaine,unknown,weiss,125,300
11485690,19.814562,Clairefontaine,unknown,rosa,500,80
7459871,13.861249,Papier Union,DIN A4 (210 x 297 mm),limette,100,170
10923190,8.054763,Clairefontaine,DIN A3 (297 x 420 mm),unknown,500,80
15174502,3.6515267,Optibelt,unknown,weiss,unknown,180
10630413,5.2472534,Clairefontaine,DIN A4 (210 x 297 mm),weiss,50,160
5961046,19.994467,Staples,DIN A4 (210 x 297 mm),weiss,2500,80
